EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,Lipid Number,CAS Number,Amount,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort Oder
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Eicosatrienoic acid,C20:3n3,2091-27-2,411.87,ug/g,ppm,2.04,6.13,,,,25
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Dihomo-gamma-linolenic acid,C20:3n6,1783-84-2,170.48,ug/g,ppm,0.32,0.96,,,,26
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Arachidonic acid,C20:4n6,506-32-1,1781.08,ug/g,ppm,0.14,0.41,,,,27
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Eicosapentaenoic acid,C20:5n3,10417-94-4,4694.26,ug/g,ppm,0.20,0.59,,,,28
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Heneicosanoic acid,C21:0,2363-71-5,66.97,ug/g,ppm,0.12,0.36,,,,29
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Behenic acid,C22:0,112-85-6,31.42,ug/g,ppm,0.09,0.27,,,,30
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Erucic acid,C22:1n9,112-86-7,94.65,ug/g,ppm,1.67,5.00,,,,31
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Cetoleic acid,C22:1n11,1002-96-6,,ug/g,ppm,2.49,7.47,U,,,32
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,"13,16-Docosadienoic acid",C22:2,7370-49-2,,ug/g,ppm,1.84,5.51,U,,,33
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Docosapentaenoic acid,C22:5n3,24880-45-3,1430.09,ug/g,ppm,1.29,3.88,NNR (C22:6n3),"NASA, J","No authentic standard available for calibration, result is estimated",34
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Docosahexaenoic acid,C22:6n3,6217-54-5,6470.36,ug/g,ppm,2.49,7.47,,,,35
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Tricosanoic acid,C23:0,2433-96-7,940.16,ug/g,ppm,0.15,0.44,,,,36
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Lignoceric acid,C24:0,557-59-5,46.64,ug/g,ppm,0.09,0.27,,,,37
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Nervonic acid,C24:1n9,506-37-6 ,188.12,ug/g,ppm,0.63,1.89,,,,38
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Decanoic acid,C10:0,334-48-5,,ug/g,ppm,0.24,0.71,U,,,1
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Undecanoic acid,C11:0,112-37-8,,ug/g,ppm,0.24,0.71,U,,,2
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Dodecanoic acid,C12:0,143-07-7,,ug/g,ppm,0.44,1.32,U,,,3
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Tridecanoic acid,C13:0,638-53-9,,ug/g,ppm,0.09,0.27,U,,,4
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Myristic acid,C14:0,544-63-8,793.20,ug/g,ppm,1.89,5.68,,,,5
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Myristoleic acid,C14:1,544-64-9,75.79,ug/g,ppm,0.18,0.54,,,,6
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Pentadecanoic acid,C15:0,1002-84-2,93.13,ug/g,ppm,0.36,1.09,,,,7
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,cis-10-Pentadecenoic acid,C15:1,84743-29-3,10.99,ug/g,ppm,0.09,0.27,,,,8
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Palmitic acid,C16:0,57-10-3,2763.25,ug/g,ppm,6.72,20.20,,,,9
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,cis-7-Hexadecenoic acid,C16:1,629-57-2,4192.47,ug/g,ppm,7.14,21.40,,,,10
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Heptadecanoic acid,C17:0,506-12-7,89.72,ug/g,ppm,0.33,0.99,,,,11
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,cis-10-Heptadecenoic acid,C17:1,62528-80-7,,ug/g,ppm,0.09,0.27,U,,,12
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Stearic acid,C18:0,57-11-4,585.77,ug/g,ppm,0.69,2.08,,,,13
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Oleic acid,C18:1n9 cis,112-80-1,3015.82,ug/g,ppm,10.60,31.80,,,,14
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Elaidic acid,C18:1n9 trans,112-79-8,,ug/g,ppm,0.30,0.89,U,,,15
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,cis-Vaccenic acid,C18:1w7,693-72-1,833.35,ug/g,ppm,2.26,6.79,NNR (C18:1n9 cis),"NASA, J","No authentic standard available for calibration, result is estimated",16
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Linoleic acid,C18:2n6 cis,60-33-3,984.86,ug/g,ppm,1.60,4.81,,,,17
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Linolelaidic acid,C18:2 trans,506-21-8,,ug/g,ppm,0.93,2.80,U,,,18
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Linolenic acid,C18:3n3,463-40-1,660.74,ug/g,ppm,3.50,10.50,,,,19
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,gamma-Linolenic acid,C18:3n6,506-26-3,106.79,ug/g,ppm,0.34,1.01,,,,20
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Octadecatetraenoic acid,C18:4n3,2091-28-3,662.99,ug/g,ppm,2.49,7.47,NNR (C20:1n9),"NASA, J","No authentic standard available for calibration, result is estimated",21
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Arachidic acid,C20:0,506-30-9,36.80,ug/g,ppm,0.09,0.27,,,,22
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Eicosenoic acid,C20:1n9,29204-02-2,,ug/g,ppm,3.50,10.50,U,,,23
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Eicosadienoic acid,C20:2,2091-39-6,145.43,ug/g,ppm,0.16,0.48,,,,24
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Eicosatrienoic acid,C20:3n3,2091-27-2,,ug/g,ppm,2.04,6.13,U,,,25
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Dihomo-gamma-linolenic acid,C20:3n6,1783-84-2,62.88,ug/g,ppm,0.32,0.96,,,,26
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Arachidonic acid,C20:4n6,506-32-1,624.75,ug/g,ppm,0.14,0.41,,,,27
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Eicosapentaenoic acid,C20:5n3,10417-94-4,1674.00,ug/g,ppm,0.20,0.59,,,,28
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Heneicosanoic acid,C21:0,2363-71-5,17.55,ug/g,ppm,0.12,0.36,,,,29
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Behenic acid,C22:0,112-85-6,7.85,ug/g,ppm,0.09,0.27,,,,30
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Erucic acid,C22:1n9,112-86-7,10.79,ug/g,ppm,1.67,5.00,,,,31
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Cetoleic acid,C22:1n11,1002-96-6,,ug/g,ppm,2.49,7.47,U,,,32
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,"13,16-Docosadienoic acid",C22:2,7370-49-2,,ug/g,ppm,1.84,5.51,U,,,33
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Docosapentaenoic acid,C22:5n3,24880-45-3,760.22,ug/g,ppm,1.29,3.88,NNR (C22:6n3),"NASA, J","No authentic standard available for calibration, result is estimated",34
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Docosahexaenoic acid,C22:6n3,6217-54-5,2736.08,ug/g,ppm,2.49,7.47,,,,35
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Tricosanoic acid,C23:0,2433-96-7,285.82,ug/g,ppm,0.15,0.44,,,,36
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Lignoceric acid,C24:0,557-59-5,8.60,ug/g,ppm,0.09,0.27,,,,37
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Nervonic acid,C24:1n9,506-37-6 ,,ug/g,ppm,0.63,1.89,U,,,38
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Decanoic acid,C10:0,334-48-5,,ug/g,ppm,0.24,0.71,U,,,1
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Undecanoic acid,C11:0,112-37-8,,ug/g,ppm,0.24,0.71,U,,,2
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Dodecanoic acid,C12:0,143-07-7,,ug/g,ppm,0.44,1.32,U,,,3
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Tridecanoic acid,C13:0,638-53-9,,ug/g,ppm,0.09,0.27,U,,,4
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Myristic acid,C14:0,544-63-8,416.04,ug/g,ppm,1.89,5.68,,,,5
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Myristoleic acid,C14:1,544-64-9,34.94,ug/g,ppm,0.18,0.54,,,,6
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Pentadecanoic acid,C15:0,1002-84-2,48.91,ug/g,ppm,0.36,1.09,,,,7
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,cis-10-Pentadecenoic acid,C15:1,84743-29-3,,ug/g,ppm,0.09,0.27,U,,,8
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Palmitic acid,C16:0,57-10-3,3347.11,ug/g,ppm,6.72,20.20,,,,9
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,cis-7-Hexadecenoic acid,C16:1,629-57-2,1981.33,ug/g,ppm,7.14,21.40,,,,10
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Heptadecanoic acid,C17:0,506-12-7,84.79,ug/g,ppm,0.33,0.99,SF,,,11
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,cis-10-Heptadecenoic acid,C17:1,62528-80-7,,ug/g,ppm,0.09,0.27,U,,,12
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Stearic acid,C18:0,57-11-4,865.29,ug/g,ppm,0.69,2.08,,,,13
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Oleic acid,C18:1n9 cis,112-80-1,2123.04,ug/g,ppm,10.60,31.80,,,,14
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Elaidic acid,C18:1n9 trans,112-79-8,,ug/g,ppm,0.30,0.89,U,,,15
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,cis-Vaccenic acid,C18:1w7,693-72-1,1128.47,ug/g,ppm,2.26,6.79,NNR (C18:1n9 cis),"NASA, J","No authentic standard available for calibration, result is estimated",16
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Linoleic acid,C18:2n6 cis,60-33-3,692.05,ug/g,ppm,1.60,4.81,,,,17
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Linolelaidic acid,C18:2 trans,506-21-8,,ug/g,ppm,0.93,2.80,U,,,18
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Linolenic acid,C18:3n3,463-40-1,343.28,ug/g,ppm,3.50,10.50,,,,19
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,gamma-Linolenic acid,C18:3n6,506-26-3,64.54,ug/g,ppm,0.34,1.01,,,,20
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Octadecatetraenoic acid,C18:4n3,2091-28-3,,ug/g,ppm,2.49,7.47,U,,,21
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Arachidic acid,C20:0,506-30-9,35.01,ug/g,ppm,0.09,0.27,,,,22
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Eicosenoic acid,C20:1n9,29204-02-2,,ug/g,ppm,3.50,10.50,U,,,23
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Eicosadienoic acid,C20:2,2091-39-6,123.67,ug/g,ppm,0.16,0.48,,,,24
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Eicosatrienoic acid,C20:3n3,2091-27-2,,ug/g,ppm,2.04,6.13,U,,,25
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Dihomo-gamma-linolenic acid,C20:3n6,1783-84-2,83.92,ug/g,ppm,0.32,0.96,,,,26
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Arachidonic acid,C20:4n6,506-32-1,808.43,ug/g,ppm,0.14,0.41,,,,27
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Eicosapentaenoic acid,C20:5n3,10417-94-4,1916.52,ug/g,ppm,0.20,0.59,,,,28
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Heneicosanoic acid,C21:0,2363-71-5,27.66,ug/g,ppm,0.12,0.36,,,,29
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Behenic acid,C22:0,112-85-6,15.17,ug/g,ppm,0.09,0.27,,,,30
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Erucic acid,C22:1n9,112-86-7,10.89,ug/g,ppm,1.67,5.00,,,,31
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Cetoleic acid,C22:1n11,1002-96-6,,ug/g,ppm,2.49,7.47,U,,,32
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,"13,16-Docosadienoic acid",C22:2,7370-49-2,,ug/g,ppm,1.84,5.51,U,,,33
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Docosapentaenoic acid,C22:5n3,24880-45-3,629.84,ug/g,ppm,1.29,3.88,NNR (C22:6n3),"NASA, J","No authentic standard available for calibration, result is estimated",34
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Docosahexaenoic acid,C22:6n3,6217-54-5,3175.54,ug/g,ppm,2.49,7.47,,,,35
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Tricosanoic acid,C23:0,2433-96-7,203.85,ug/g,ppm,0.15,0.44,,,,36
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Lignoceric acid,C24:0,557-59-5,11.49,ug/g,ppm,0.09,0.27,,,,37
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Nervonic acid,C24:1n9,506-37-6 ,,ug/g,ppm,0.63,1.89,U,,,38
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Decanoic acid,C10:0,334-48-5,,ug/g,ppm,0.24,0.71,U,,,1
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Undecanoic acid,C11:0,112-37-8,,ug/g,ppm,0.24,0.71,U,,,2
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Dodecanoic acid,C12:0,143-07-7,,ug/g,ppm,0.44,1.32,U,,,3
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Tridecanoic acid,C13:0,638-53-9,,ug/g,ppm,0.09,0.27,U,,,4
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Myristic acid,C14:0,544-63-8,793.43,ug/g,ppm,1.89,5.68,,,,5
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Myristoleic acid,C14:1,544-64-9,45.79,ug/g,ppm,0.18,0.54,,,,6
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Pentadecanoic acid,C15:0,1002-84-2,72.46,ug/g,ppm,0.36,1.09,,,,7
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,cis-10-Pentadecenoic acid,C15:1,84743-29-3,,ug/g,ppm,0.09,0.27,U,,,8
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Palmitic acid,C16:0,57-10-3,3862.88,ug/g,ppm,6.72,20.20,,,,9
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,cis-7-Hexadecenoic acid,C16:1,629-57-2,1453.49,ug/g,ppm,7.14,21.40,,,,10
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Heptadecanoic acid,C17:0,506-12-7,122.61,ug/g,ppm,0.33,0.99,SF,,,11
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,cis-10-Heptadecenoic acid,C17:1,62528-80-7,,ug/g,ppm,0.09,0.27,U,,,12
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Stearic acid,C18:0,57-11-4,1164.68,ug/g,ppm,0.69,2.08,,,,13
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Oleic acid,C18:1n9 cis,112-80-1,4624.04,ug/g,ppm,10.60,31.80,,,,14
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Elaidic acid,C18:1n9 trans,112-79-8,,ug/g,ppm,0.30,0.89,U,,,15
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,cis-Vaccenic acid,C18:1w7,693-72-1,916.77,ug/g,ppm,2.26,6.79,NNR (C18:1n9 cis),"NASA, J","No authentic standard available for calibration, result is estimated",16
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Linoleic acid,C18:2n6 cis,60-33-3,1022.84,ug/g,ppm,1.60,4.81,,,,17
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Linolelaidic acid,C18:2 trans,506-21-8,,ug/g,ppm,0.93,2.80,U,,,18
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Linolenic acid,C18:3n3,463-40-1,550.21,ug/g,ppm,3.50,10.50,,,,19
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,gamma-Linolenic acid,C18:3n6,506-26-3,39.85,ug/g,ppm,0.34,1.01,,,,20
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Octadecatetraenoic acid,C18:4n3,2091-28-3,,ug/g,ppm,2.49,7.47,U,,,21
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Arachidic acid,C20:0,506-30-9,39.20,ug/g,ppm,0.09,0.27,,,,22
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Eicosenoic acid,C20:1n9,29204-02-2,286.30,ug/g,ppm,3.50,10.50,,,,23
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Eicosadienoic acid,C20:2,2091-39-6,176.36,ug/g,ppm,0.16,0.48,,,,24
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Eicosatrienoic acid,C20:3n3,2091-27-2,129.61,ug/g,ppm,2.04,6.13,,,,25
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Dihomo-gamma-linolenic acid,C20:3n6,1783-84-2,75.86,ug/g,ppm,0.32,0.96,,,,26
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Arachidonic acid,C20:4n6,506-32-1,1047.46,ug/g,ppm,0.14,0.41,,,,27
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Eicosapentaenoic acid,C20:5n3,10417-94-4,1276.89,ug/g,ppm,0.20,0.59,,,,28
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Heneicosanoic acid,C21:0,2363-71-5,11.58,ug/g,ppm,0.12,0.36,,,,29
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Behenic acid,C22:0,112-85-6,14.45,ug/g,ppm,0.09,0.27,,,,30
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Erucic acid,C22:1n9,112-86-7,30.44,ug/g,ppm,1.67,5.00,,,,31
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Cetoleic acid,C22:1n11,1002-96-6,,ug/g,ppm,2.49,7.47,U,,,32
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,"13,16-Docosadienoic acid",C22:2,7370-49-2,,ug/g,ppm,1.84,5.51,U,,,33
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Docosapentaenoic acid,C22:5n3,24880-45-3,836.92,ug/g,ppm,1.29,3.88,NNR (C22:6n3),"NASA, J","No authentic standard available for calibration, result is estimated",34
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Docosahexaenoic acid,C22:6n3,6217-54-5,3982.36,ug/g,ppm,2.49,7.47,,,,35
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Tricosanoic acid,C23:0,2433-96-7,306.85,ug/g,ppm,0.15,0.44,,,,36
